County,1929_RUNNING,1931_RUNNING,1933_RUNNING,1935_RUNNING,1937_RUNNING,1939_RUNNING,1941_RUNNING,1943_RUNNING,1945_RUNNING,1947_RUNNING,1949_RUNNING,1951_RUNNING,1953_RUNNING,1955_RUNNING,1957_RUNNING,1959_RUNNING,1961_RUNNING,1963_RUNNING,1965_RUNNING,1967_RUNNING,1969_RUNNING,1971_RUNNING,1973_RUNNING,1975_RUNNING,1977_RUNNING,1979_RUNNING,1981_RUNNING,1983_RUNNING,1985_RUNNING,1987_RUNNING,1989_RUNNING,1991_RUNNING,1993_RUNNING,1995_RUNNING,1997_RUNNING,1999_RUNNING,2001_RUNNING,2003_RUNNING,2005_RUNNING,2007_RUNNING,2009_RUNNING,2011_RUNNING,2013_RUNNING,2015_RUNNING,2017_RUNNING,2019_RUNNING,1929_REPS_RUNNING,1931_REPS_RUNNING,1933_REPS_RUNNING,1935_REPS_RUNNING,1937_REPS_RUNNING,1939_REPS_RUNNING,1941_REPS_RUNNING,1943_REPS_RUNNING,1945_REPS_RUNNING,1947_REPS_RUNNING,1949_REPS_RUNNING,1951_REPS_RUNNING,1953_REPS_RUNNING,1955_REPS_RUNNING,1957_REPS_RUNNING,1959_REPS_RUNNING,1961_REPS_RUNNING,1963_REPS_RUNNING,1965_REPS_RUNNING,1967_REPS_RUNNING,1969_REPS_RUNNING,1971_REPS_RUNNING,1973_REPS_RUNNING,1975_REPS_RUNNING,1977_REPS_RUNNING,1979_REPS_RUNNING,1981_REPS_RUNNING,1983_REPS_RUNNING,1985_REPS_RUNNING,1987_REPS_RUNNING,1989_REPS_RUNNING,1991_REPS_RUNNING,1993_REPS_RUNNING,1995_REPS_RUNNING,1997_REPS_RUNNING,1999_REPS_RUNNING,2001_REPS_RUNNING,2003_REPS_RUNNING,2005_REPS_RUNNING,2007_REPS_RUNNING,2009_REPS_RUNNING,2011_REPS_RUNNING,2013_REPS_RUNNING,2015_REPS_RUNNING,2017_REPS_RUNNING,2019_REPS_RUNNING
Pottawattamie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,"Mary P. Gregerson, Democrat, 1965–1967","Mary P. Gregerson, Democrat, 1965–1967","Mary P. Gregerson, Democrat, 1965–1967","Mary P. Gregerson, Democrat, 1965–1967","Mary P. Gregerson, Democrat, 1965–1967","Mary P. Gregerson, Democrat, 1965–1967","Mary P. Gregerson, Democrat, 1965–1967","Mary P. Gregerson, Democrat, 1965–1967","Mary P. Gregerson, Democrat, 1965–1967; Marcia K. Walter, Democrat, 1981–1983","Mary P. Gregerson, Democrat, 1965–1967; Marcia K. Walter, Democrat, 1981–1983","Mary P. Gregerson, Democrat, 1965–1967; Marcia K. Walter, Democrat, 1981–1983; Joan L. Hester, Republican, 1985–1995","Mary P. Gregerson, Democrat, 1965–1967; Marcia K. Walter, Democrat, 1981–1983; Joan L. Hester, Republican, 1985–1995","Mary P. Gregerson, Democrat, 1965–1967; Marcia K. Walter, Democrat, 1981–1983; Joan L. Hester, Republican, 1985–1995","Mary P. Gregerson, Democrat, 1965–1967; Marcia K. Walter, Democrat, 1981–1983; Joan L. Hester, Republican, 1985–1995","Mary P. Gregerson, Democrat, 1965–1967; Marcia K. Walter, Democrat, 1981–1983; Joan L. Hester, Republican, 1985–1995; Linda M. Nelson, Democrat, 1993–1997","Mary P. Gregerson, Democrat, 1965–1967; Marcia K. Walter, Democrat, 1981–1983; Joan L. Hester, Republican, 1985–1995; Linda M. Nelson, Democrat, 1993–1997","Mary P. Gregerson, Democrat, 1965–1967; Marcia K. Walter, Democrat, 1981–1983; Joan L. Hester, Republican, 1985–1995; Linda M. Nelson, Democrat, 1993–1997","Mary P. Gregerson, Democrat, 1965–1967; Marcia K. Walter, Democrat, 1981–1983; Joan L. Hester, Republican, 1985–1995; Linda M. Nelson, Democrat, 1993–1997","Mary P. Gregerson, Democrat, 1965–1967; Marcia K. Walter, Democrat, 1981–1983; Joan L. Hester, Republican, 1985–1995; Linda M. Nelson, Democrat, 1993–1997","Mary P. Gregerson, Democrat, 1965–1967; Marcia K. Walter, Democrat, 1981–1983; Joan L. Hester, Republican, 1985–1995; Linda M. Nelson, Democrat, 1993–1997","Mary P. Gregerson, Democrat, 1965–1967; Marcia K. Walter, Democrat, 1981–1983; Joan L. Hester, Republican, 1985–1995; Linda M. Nelson, Democrat, 1993–1997","Mary P. Gregerson, Democrat, 1965–1967; Marcia K. Walter, Democrat, 1981–1983; Joan L. Hester, Republican, 1985–1995; Linda M. Nelson, Democrat, 1993–1997","Mary P. Gregerson, Democrat, 1965–1967; Marcia K. Walter, Democrat, 1981–1983; Joan L. Hester, Republican, 1985–1995; Linda M. Nelson, Democrat, 1993–1997","Mary P. Gregerson, Democrat, 1965–1967; Marcia K. Walter, Democrat, 1981–1983; Joan L. Hester, Republican, 1985–1995; Linda M. Nelson, Democrat, 1993–1997; Mary Ann Hanusa, Republican, 2011–2021","Mary P. Gregerson, Democrat, 1965–1967; Marcia K. Walter, Democrat, 1981–1983; Joan L. Hester, Republican, 1985–1995; Linda M. Nelson, Democrat, 1993–1997; Mary Ann Hanusa, Republican, 2011–2021","Mary P. Gregerson, Democrat, 1965–1967; Marcia K. Walter, Democrat, 1981–1983; Joan L. Hester, Republican, 1985–1995; Linda M. Nelson, Democrat, 1993–1997; Mary Ann Hanusa, Republican, 2011–2021","Mary P. Gregerson, Democrat, 1965–1967; Marcia K. Walter, Democrat, 1981–1983; Joan L. Hester, Republican, 1985–1995; Linda M. Nelson, Democrat, 1993–1997; Mary Ann Hanusa, Republican, 2011–2021","Mary P. Gregerson, Democrat, 1965–1967; Marcia K. Walter, Democrat, 1981–1983; Joan L. Hester, Republican, 1985–1995; Linda M. Nelson, Democrat, 1993–1997; Mary Ann Hanusa, Republican, 2011–2021"
Poweshiek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,"Janet A. Carl, Democrat, 1981–1987","Janet A. Carl, Democrat, 1981–1987","Janet A. Carl, Democrat, 1981–1987","Janet A. Carl, Democrat, 1981–1987","Janet A. Carl, Democrat, 1981–1987","Janet A. Carl, Democrat, 1981–1987","Janet A. Carl, Democrat, 1981–1987","Janet A. Carl, Democrat, 1981–1987","Janet A. Carl, Democrat, 1981–1987","Janet A. Carl, Democrat, 1981–1987","Janet A. Carl, Democrat, 1981–1987","Janet A. Carl, Democrat, 1981–1987","Janet A. Carl, Democrat, 1981–1987","Janet A. Carl, Democrat, 1981–1987","Janet A. Carl, Democrat, 1981–1987","Janet A. Carl, Democrat, 1981–1987","Janet A. Carl, Democrat, 1981–1987","Janet A. Carl, Democrat, 1981–1987","Janet A. Carl, Democrat, 1981–1987","Janet A. Carl, Democrat, 1981–1987"
Ringgold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives
Sac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives
Scott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,3,3,3,3,3,4,4,4,4,5,5,5,7,8,8,8,8,9,9,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,"Elizabeth O. Shaw, Republican, 1967–1971","Elizabeth O. Shaw, Republican, 1967–1971","Elizabeth O. Shaw, Republican, 1967–1971","Elizabeth O. Shaw, Republican, 1967–1971; Emma J. Kiser, Republican, 1973–1975","Elizabeth O. Shaw, Republican, 1967–1971; Emma J. Kiser, Republican, 1973–1975","Elizabeth O. Shaw, Republican, 1967–1971; Emma J. Kiser, Republican, 1973–1975","Elizabeth O. Shaw, Republican, 1967–1971; Emma J. Kiser, Republican, 1973–1975","Elizabeth O. Shaw, Republican, 1967–1971; Emma J. Kiser, Republican, 1973–1975; Joan Smith, Republican, 1981–1983","Elizabeth O. Shaw, Republican, 1967–1971; Emma J. Kiser, Republican, 1973–1975; Joan Smith, Republican, 1981–1983","Elizabeth O. Shaw, Republican, 1967–1971; Emma J. Kiser, Republican, 1973–1975; Joan Smith, Republican, 1981–1983","Elizabeth O. Shaw, Republican, 1967–1971; Emma J. Kiser, Republican, 1973–1975; Joan Smith, Republican, 1981–1983","Elizabeth O. Shaw, Republican, 1967–1971; Emma J. Kiser, Republican, 1973–1975; Joan Smith, Republican, 1981–1983","Elizabeth O. Shaw, Republican, 1967–1971; Emma J. Kiser, Republican, 1973–1975; Joan Smith, Republican, 1981–1983","Elizabeth O. Shaw, Republican, 1967–1971; Emma J. Kiser, Republican, 1973–1975; Joan Smith, Republican, 1981–1983; Mona L. Martin, Republican, 1993–2001","Elizabeth O. Shaw, Republican, 1967–1971; Emma J. Kiser, Republican, 1973–1975; Joan Smith, Republican, 1981–1983; Mona L. Martin, Republican, 1993–2001","Elizabeth O. Shaw, Republican, 1967–1971; Emma J. Kiser, Republican, 1973–1975; Joan Smith, Republican, 1981–1983; Mona L. Martin, Republican, 1993–2001","Elizabeth O. Shaw, Republican, 1967–1971; Emma J. Kiser, Republican, 1973–1975; Joan Smith, Republican, 1981–1983; Mona L. Martin, Republican, 1993–2001","Elizabeth O. Shaw, Republican, 1967–1971; Emma J. Kiser, Republican, 1973–1975; Joan Smith, Republican, 1981–1983; Mona L. Martin, Republican, 1993–2001; Cindy Winckler, Democrat, 2001–2021","Elizabeth O. Shaw, Republican, 1967–1971; Emma J. Kiser, Republican, 1973–1975; Joan Smith, Republican, 1981–1983; Mona L. Martin, Republican, 1993–2001; Cindy Winckler, Democrat, 2001–2021","Elizabeth O. Shaw, Republican, 1967–1971; Emma J. Kiser, Republican, 1973–1975; Joan Smith, Republican, 1981–1983; Mona L. Martin, Republican, 1993–2001; Cindy Winckler, Democrat, 2001–2021","Elizabeth O. Shaw, Republican, 1967–1971; Emma J. Kiser, Republican, 1973–1975; Joan Smith, Republican, 1981–1983; Mona L. Martin, Republican, 1993–2001; Cindy Winckler, Democrat, 2001–2021; Elesha L. Gayman, Democrat, 2007–2011; Linda J. Miller, Republican, 2007–2017","Elizabeth O. Shaw, Republican, 1967–1971; Emma J. Kiser, Republican, 1973–1975; Joan Smith, Republican, 1981–1983; Mona L. Martin, Republican, 1993–2001; Cindy Winckler, Democrat, 2001–2021; Elesha L. Gayman, Democrat, 2007–2011; Linda J. Miller, Republican, 2007–2017; Phyllis Thede, Democrat, 2009–2021","Elizabeth O. Shaw, Republican, 1967–1971; Emma J. Kiser, Republican, 1973–1975; Joan Smith, Republican, 1981–1983; Mona L. Martin, Republican, 1993–2001; Cindy Winckler, Democrat, 2001–2021; Elesha L. Gayman, Democrat, 2007–2011; Linda J. Miller, Republican, 2007–2017; Phyllis Thede, Democrat, 2009–2021","Elizabeth O. Shaw, Republican, 1967–1971; Emma J. Kiser, Republican, 1973–1975; Joan Smith, Republican, 1981–1983; Mona L. Martin, Republican, 1993–2001; Cindy Winckler, Democrat, 2001–2021; Elesha L. Gayman, Democrat, 2007–2011; Linda J. Miller, Republican, 2007–2017; Phyllis Thede, Democrat, 2009–2021","Elizabeth O. Shaw, Republican, 1967–1971; Emma J. Kiser, Republican, 1973–1975; Joan Smith, Republican, 1981–1983; Mona L. Martin, Republican, 1993–2001; Cindy Winckler, Democrat, 2001–2021; Elesha L. Gayman, Democrat, 2007–2011; Linda J. Miller, Republican, 2007–2017; Phyllis Thede, Democrat, 2009–2021","Elizabeth O. Shaw, Republican, 1967–1971; Emma J. Kiser, Republican, 1973–1975; Joan Smith, Republican, 1981–1983; Mona L. Martin, Republican, 1993–2001; Cindy Winckler, Democrat, 2001–2021; Elesha L. Gayman, Democrat, 2007–2011; Linda J. Miller, Republican, 2007–2017; Phyllis Thede, Democrat, 2009–2021; Monica Kurth, Democrat, 2017–2021","Elizabeth O. Shaw, Republican, 1967–1971; Emma J. Kiser, Republican, 1973–1975; Joan Smith, Republican, 1981–1983; Mona L. Martin, Republican, 1993–2001; Cindy Winckler, Democrat, 2001–2021; Elesha L. Gayman, Democrat, 2007–2011; Linda J. Miller, Republican, 2007–2017; Phyllis Thede, Democrat, 2009–2021; Monica Kurth, Democrat, 2017–2021"
Shelby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives
Sioux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives
Story,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3,4,4,5,6,7,8,8,8,8,8,8,8,8,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,"Sonja C. Egenes, Republican, 1971–1983","Sonja C. Egenes, Republican, 1971–1983","Sonja C. Egenes, Republican, 1971–1983","Sonja C. Egenes, Republican, 1971–1983","Sonja C. Egenes, Republican, 1971–1983","Sonja C. Egenes, Republican, 1971–1983","Sonja C. Egenes, Republican, 1971–1983; Johnie Hammond, Democrat, 1983–1995","Sonja C. Egenes, Republican, 1971–1983; Johnie Hammond, Democrat, 1983–1995","Sonja C. Egenes, Republican, 1971–1983; Johnie Hammond, Democrat, 1983–1995; Teresa A. Garman, Republican, 1987–2003","Sonja C. Egenes, Republican, 1971–1983; Johnie Hammond, Democrat, 1983–1995; Teresa A. Garman, Republican, 1987–2003","Sonja C. Egenes, Republican, 1971–1983; Johnie Hammond, Democrat, 1983–1995; Teresa A. Garman, Republican, 1987–2003","Sonja C. Egenes, Republican, 1971–1983; Johnie Hammond, Democrat, 1983–1995; Teresa A. Garman, Republican, 1987–2003","Sonja C. Egenes, Republican, 1971–1983; Johnie Hammond, Democrat, 1983–1995; Teresa A. Garman, Republican, 1987–2003; Cecelia S. Burnett, Democrat, 1995–2001","Sonja C. Egenes, Republican, 1971–1983; Johnie Hammond, Democrat, 1983–1995; Teresa A. Garman, Republican, 1987–2003; Cecelia S. Burnett, Democrat, 1995–2001","Sonja C. Egenes, Republican, 1971–1983; Johnie Hammond, Democrat, 1983–1995; Teresa A. Garman, Republican, 1987–2003; Cecelia S. Burnett, Democrat, 1995–2001; Jane L. Greimann, Democrat, 1999–2005","Sonja C. Egenes, Republican, 1971–1983; Johnie Hammond, Democrat, 1983–1995; Teresa A. Garman, Republican, 1987–2003; Cecelia S. Burnett, Democrat, 1995–2001; Jane L. Greimann, Democrat, 1999–2005; Barbara A. Finch, Republican, 2001–2003","Sonja C. Egenes, Republican, 1971–1983; Johnie Hammond, Democrat, 1983–1995; Teresa A. Garman, Republican, 1987–2003; Cecelia S. Burnett, Democrat, 1995–2001; Jane L. Greimann, Democrat, 1999–2005; Barbara A. Finch, Republican, 2001–2003; Lisa Heddens, Democrat, 2003–2021","Sonja C. Egenes, Republican, 1971–1983; Johnie Hammond, Democrat, 1983–1995; Teresa A. Garman, Republican, 1987–2003; Cecelia S. Burnett, Democrat, 1995–2001; Jane L. Greimann, Democrat, 1999–2005; Barbara A. Finch, Republican, 2001–2003; Lisa Heddens, Democrat, 2003–2021; Beth Wessel–Kroeschell, Democrat, 2005–2021","Sonja C. Egenes, Republican, 1971–1983; Johnie Hammond, Democrat, 1983–1995; Teresa A. Garman, Republican, 1987–2003; Cecelia S. Burnett, Democrat, 1995–2001; Jane L. Greimann, Democrat, 1999–2005; Barbara A. Finch, Republican, 2001–2003; Lisa Heddens, Democrat, 2003–2021; Beth Wessel–Kroeschell, Democrat, 2005–2021","Sonja C. Egenes, Republican, 1971–1983; Johnie Hammond, Democrat, 1983–1995; Teresa A. Garman, Republican, 1987–2003; Cecelia S. Burnett, Democrat, 1995–2001; Jane L. Greimann, Democrat, 1999–2005; Barbara A. Finch, Republican, 2001–2003; Lisa Heddens, Democrat, 2003–2021; Beth Wessel–Kroeschell, Democrat, 2005–2021","Sonja C. Egenes, Republican, 1971–1983; Johnie Hammond, Democrat, 1983–1995; Teresa A. Garman, Republican, 1987–2003; Cecelia S. Burnett, Democrat, 1995–2001; Jane L. Greimann, Democrat, 1999–2005; Barbara A. Finch, Republican, 2001–2003; Lisa Heddens, Democrat, 2003–2021; Beth Wessel–Kroeschell, Democrat, 2005–2021","Sonja C. Egenes, Republican, 1971–1983; Johnie Hammond, Democrat, 1983–1995; Teresa A. Garman, Republican, 1987–2003; Cecelia S. Burnett, Democrat, 1995–2001; Jane L. Greimann, Democrat, 1999–2005; Barbara A. Finch, Republican, 2001–2003; Lisa Heddens, Democrat, 2003–2021; Beth Wessel–Kroeschell, Democrat, 2005–2021","Sonja C. Egenes, Republican, 1971–1983; Johnie Hammond, Democrat, 1983–1995; Teresa A. Garman, Republican, 1987–2003; Cecelia S. Burnett, Democrat, 1995–2001; Jane L. Greimann, Democrat, 1999–2005; Barbara A. Finch, Republican, 2001–2003; Lisa Heddens, Democrat, 2003–2021; Beth Wessel–Kroeschell, Democrat, 2005–2021","Sonja C. Egenes, Republican, 1971–1983; Johnie Hammond, Democrat, 1983–1995; Teresa A. Garman, Republican, 1987–2003; Cecelia S. Burnett, Democrat, 1995–2001; Jane L. Greimann, Democrat, 1999–2005; Barbara A. Finch, Republican, 2001–2003; Lisa Heddens, Democrat, 2003–2021; Beth Wessel–Kroeschell, Democrat, 2005–2021","Sonja C. Egenes, Republican, 1971–1983; Johnie Hammond, Democrat, 1983–1995; Teresa A. Garman, Republican, 1987–2003; Cecelia S. Burnett, Democrat, 1995–2001; Jane L. Greimann, Democrat, 1999–2005; Barbara A. Finch, Republican, 2001–2003; Lisa Heddens, Democrat, 2003–2021; Beth Wessel–Kroeschell, Democrat, 2005–2021"
Tama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,"E. Jane Svoboda, Democrat, 1987–1993","E. Jane Svoboda, Democrat, 1987–1993","E. Jane Svoboda, Democrat, 1987–1993","E. Jane Svoboda, Democrat, 1987–1993","E. Jane Svoboda, Democrat, 1987–1993","E. Jane Svoboda, Democrat, 1987–1993","E. Jane Svoboda, Democrat, 1987–1993","E. Jane Svoboda, Democrat, 1987–1993","E. Jane Svoboda, Democrat, 1987–1993","E. Jane Svoboda, Democrat, 1987–1993","E. Jane Svoboda, Democrat, 1987–1993","E. Jane Svoboda, Democrat, 1987–1993","E. Jane Svoboda, Democrat, 1987–1993","E. Jane Svoboda, Democrat, 1987–1993","E. Jane Svoboda, Democrat, 1987–1993","E. Jane Svoboda, Democrat, 1987–1993","E. Jane Svoboda, Democrat, 1987–1993"
Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,"Effie Lee Boggess, Republican, 1995–1999","Effie Lee Boggess, Republican, 1995–1999","Effie Lee Boggess, Republican, 1995–1999","Effie Lee Boggess, Republican, 1995–1999","Effie Lee Boggess, Republican, 1995–1999","Effie Lee Boggess, Republican, 1995–1999","Effie Lee Boggess, Republican, 1995–1999","Effie Lee Boggess, Republican, 1995–1999","Effie Lee Boggess, Republican, 1995–1999","Effie Lee Boggess, Republican, 1995–1999","Effie Lee Boggess, Republican, 1995–1999","Effie Lee Boggess, Republican, 1995–1999","Effie Lee Boggess, Republican, 1995–1999"
Union,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives
Van Buren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,"Rebecca Reynolds, Democrat, 1997–2003","Rebecca Reynolds, Democrat, 1997–2003","Rebecca Reynolds, Democrat, 1997–2003","Rebecca Reynolds, Democrat, 1997–2003","Rebecca Reynolds, Democrat, 1997–2003","Rebecca Reynolds, Democrat, 1997–2003","Rebecca Reynolds, Democrat, 1997–2003","Rebecca Reynolds, Democrat, 1997–2003","Rebecca Reynolds, Democrat, 1997–2003","Rebecca Reynolds, Democrat, 1997–2003","Rebecca Reynolds, Democrat, 1997–2003","Rebecca Reynolds, Democrat, 1997–2003"
